ID	CCLE_name	Cell_line_primary_name	Gender	Batch	Site_Primary	Histology	Hist_Subtype1
CASED_p_NCLE_RNA4_HG-U133_Plus_2_A02_383724	MORCPR_LUNG	MOR/CPR	F	4	lung	carcinoma	adenocarcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_A03_383722	HARA_LUNG	HARA	M	4	lung	carcinoma	squamous_cell_carcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_A08_383764	NCIH1568_LUNG	NCI-H1568	F	4	lung	carcinoma	non_small_cell_carcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_B05_383744	NCIH1563_LUNG	NCI-H1563	M	4	lung	carcinoma	adenocarcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_B06_383736	NCIH358_LUNG	NCI-H358	M	4	lung	carcinoma	bronchioloalveolar_adenocarcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_B09_383752	NCIH1650_LUNG	NCI-H1650	M	4	lung	carcinoma	bronchioloalveolar_adenocarcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_B10_383746	NCIH1793_LUNG	NCI-H1793	F	4	lung	carcinoma	non_small_cell_carcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_B11_383748	NCIH1437_LUNG	NCI-H1437	M	4	lung	carcinoma	adenocarcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_B12_383632	KNS62_LUNG	KNS-62	M	4	lung	carcinoma	squamous_cell_carcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_D03_383620	SW1271_LUNG	SW-1271	M	4	lung	carcinoma	small_cell_carcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_D04_383692	NCIH1792_LUNG	NCI-H1792	M	4	lung	carcinoma	adenocarcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_D08_383708	NCIH82_LUNG	NCI-H82	M	4	lung	carcinoma	small_cell_carcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_F11_383686	IALM_LUNG	IA-LM	M	4	lung	carcinoma	large_cell_carcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_H05_383766	EPLC272H_LUNG	EPLC-272H	M	4	lung	carcinoma	squamous_cell_carcinoma
CASED_p_NCLE_RNA4_HG-U133_Plus_2_H09_383782	NCIH1355_LUNG	NCI-H1355	M	4	lung	carcinoma	adenocarcinoma
BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_B12_419712	LU99_LUNG	LU99	M	5	lung	carcinoma	large_cell_carcinoma
BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F04_419796	CAL12T_LUNG	CAL-12T	M	5	lung	carcinoma	non_small_cell_carcinoma
BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_H03_419816	LUDLU1_LUNG	LUDLU-1	M	5	lung	carcinoma	squamous_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_A01_436578	DMS53_LUNG	DMS-53	M	6	lung	carcinoma	small_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_A03_436582	NCIH1694_LUNG	NCI-H1694	M	6	lung	carcinoma	small_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_A12_436618	NCIH1184_LUNG	NCI-H1184	M	6	lung	carcinoma	small_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_B03_436620	NCIH2227_LUNG	NCI-H2227	M	6	lung	carcinoma	small_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_C08_436518	RERFLCAD2_LUNG	RERF-LC-Ad2	M	6	lung	carcinoma	adenocarcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_D01_436528	NCIH2347_LUNG	NCI-H2347	F	6	lung	carcinoma	adenocarcinoma
